"reporting_year","station_eu_code","date","PM2,5"
2020,"IT0862A",2020-06-20,6
2020,"IT0862A",2020-06-21,9
2020,"IT0862A",2020-06-22,9
2020,"IT0862A",2020-06-23,11
2020,"IT0862A",2020-06-24,12
2020,"IT0862A",2020-06-25,10
2020,"IT0862A",2020-06-26,11
2020,"IT0862A",2020-06-27,10
2020,"IT0862A",2020-06-28,9
2020,"IT0862A",2020-06-29,11
2020,"IT0945A",2020-01-01,121
2020,"IT0945A",2020-01-02,68
2020,"IT0945A",2020-01-03,78
2020,"IT0945A",2020-01-04,70
2020,"IT0945A",2020-01-05,53
2020,"IT0945A",2020-01-06,50
2020,"IT0945A",2020-01-07,58
2020,"IT0945A",2020-01-08,18
2020,"IT0945A",2020-01-09,51
2020,"IT0945A",2020-01-10,63
2020,"IT0945A",2020-01-11,33
2020,"IT0945A",2020-01-12,12
2020,"IT0945A",2020-01-13,35
2020,"IT0945A",2020-01-14,61
2020,"IT0945A",2020-01-15,62
2020,"IT0945A",2020-01-16,40
2020,"IT0945A",2020-01-17,53
2020,"IT0945A",2020-01-18,13
2020,"IT0945A",2020-01-19,4
2020,"IT0945A",2020-01-20,5
2020,"IT0945A",2020-01-21,13
2020,"IT0945A",2020-01-22,38
2020,"IT0945A",2020-01-23,42
2020,"IT0945A",2020-01-24,51
2020,"IT0945A",2020-01-25,20
2020,"IT0945A",2020-01-26,25
2020,"IT0945A",2020-01-28,9
2020,"IT0945A",2020-01-29,11
2020,"IT0945A",2020-01-30,16
2020,"IT0945A",2020-01-31,13
2020,"IT0945A",2020-02-01,10
2020,"IT0945A",2020-02-02,10
2020,"IT0945A",2020-02-03,15
2020,"IT0945A",2020-02-04,10
2020,"IT0945A",2020-02-05,4
2020,"IT0945A",2020-02-06,8
2020,"IT0945A",2020-02-07,20
2020,"IT0945A",2020-02-08,26
2020,"IT0945A",2020-02-09,42
2020,"IT0945A",2020-02-10,16
2020,"IT0945A",2020-02-11,12
2020,"IT0945A",2020-02-12,13
2020,"IT0945A",2020-02-13,13
2020,"IT0945A",2020-02-14,14
2020,"IT0945A",2020-02-15,19
2020,"IT0945A",2020-02-16,20
2020,"IT0945A",2020-02-17,20
2020,"IT0945A",2020-02-18,11
2020,"IT0945A",2020-02-19,16
2020,"IT0945A",2020-02-20,20
2020,"IT0945A",2020-02-21,20
2020,"IT0945A",2020-02-22,20
2020,"IT0945A",2020-02-23,20
2020,"IT0945A",2020-02-24,16
2020,"IT0945A",2020-02-25,22
2020,"IT0945A",2020-02-26,9
2020,"IT0945A",2020-02-27,9
2020,"IT0945A",2020-02-28,10
2020,"IT0945A",2020-02-29,24
2020,"IT0945A",2020-03-01,23
2020,"IT0945A",2020-03-02,6
2020,"IT0945A",2020-03-03,7
2020,"IT0945A",2020-03-04,8
2020,"IT0945A",2020-03-05,17
2020,"IT0945A",2020-03-06,8
2020,"IT0945A",2020-03-07,9
2020,"IT0945A",2020-03-08,9
2020,"IT0945A",2020-03-09,18
2020,"IT0945A",2020-03-10,17
2020,"IT0945A",2020-03-11,16
