"reporting_year","station_eu_code","date","CO"
2020,"IT2009A",2020-02-06,0.1084
2020,"IT2009A",2020-02-07,0.1912
2020,"IT2009A",2020-02-08,0.1985
2020,"IT2009A",2020-02-09,0.1892
2020,"IT2009A",2020-02-10,0.1768
2020,"IT2009A",2020-02-11,0.1968
2020,"IT2009A",2020-02-12,0.2251
2020,"IT2009A",2020-02-13,0.2464
2020,"IT2009A",2020-02-14,0.2118
2020,"IT2009A",2020-02-15,0.2195
2020,"IT2009A",2020-02-16,0.1994
2020,"IT2009A",2020-02-17,0.2
2020,"IT2009A",2020-02-18,0.2193
2020,"IT2009A",2020-02-19,0.181
2020,"IT2009A",2020-02-20,0.184
2020,"IT2009A",2020-02-21,0.2107
2020,"IT2009A",2020-02-22,0.2252
2020,"IT2009A",2020-02-23,0.2015
2020,"IT2009A",2020-02-24,0.2014
2020,"IT2009A",2020-02-25,0.1679
2020,"IT2009A",2020-02-26,0.2025
2020,"IT2009A",2020-02-27,0.1869
2020,"IT2009A",2020-02-28,0.2078
2020,"IT2009A",2020-02-29,0.1642
2020,"IT2009A",2020-03-01,0.1933
2020,"IT2009A",2020-03-02,0.1832
2020,"IT2009A",2020-03-03,0.1797
2020,"IT2009A",2020-03-04,0.2612
2020,"IT2009A",2020-03-05,0.1908
2020,"IT2009A",2020-03-06,0.1888
2020,"IT2009A",2020-03-07,0.2084
2020,"IT2009A",2020-03-08,0.2335
2020,"IT2009A",2020-03-09,0.1942
2020,"IT2009A",2020-03-10,0.2005
2020,"IT2009A",2020-03-11,0.2021
2020,"IT2009A",2020-03-12,0.2533
2020,"IT2009A",2020-03-13,0.2763
2020,"IT2009A",2020-03-14,0.2179
2020,"IT2009A",2020-03-15,0.1536
2020,"IT2009A",2020-03-16,0.1713
2020,"IT2009A",2020-03-17,0.19
2020,"IT2009A",2020-03-18,0.1953
2020,"IT2009A",2020-03-19,0.2147
2020,"IT2009A",2020-03-20,0.204
2020,"IT2009A",2020-03-21,0.2236
2020,"IT2009A",2020-03-22,0.2281
2020,"IT2009A",2020-03-23,0.1681
2020,"IT2009A",2020-03-24,0.1533
2020,"IT2009A",2020-03-25,0.1967
2020,"IT2009A",2020-03-26,0.2353
2020,"IT2009A",2020-03-27,0.2857
2020,"IT2009A",2020-03-28,0.2528
2020,"IT2009A",2020-03-29,0.234
2020,"IT2009A",2020-03-30,0.2554
2020,"IT2009A",2020-03-31,0.2239
2020,"IT2009A",2020-04-01,0.1469
2020,"IT2009A",2020-04-02,0.2246
2020,"IT2009A",2020-04-03,0.231
2020,"IT2009A",2020-04-04,0.1812
2020,"IT2009A",2020-04-05,0.1583
2020,"IT2009A",2020-04-06,0.2335
2020,"IT2009A",2020-04-07,0.2354
2020,"IT2009A",2020-04-08,0.2524
2020,"IT2009A",2020-04-09,0.2489
2020,"IT2009A",2020-04-10,0.2172
2020,"IT2009A",2020-04-11,0.2165
2020,"IT2009A",2020-04-12,0.2229
2020,"IT2009A",2020-04-13,0.2129
2020,"IT2009A",2020-04-14,0.2319
2020,"IT2009A",2020-04-15,0.1464
2020,"IT2009A",2020-04-16,0.187
2020,"IT2009A",2020-04-17,0.2443
2020,"IT2009A",2020-04-18,0.289
2020,"IT2009A",2020-04-19,0.2769
2020,"IT2009A",2020-04-20,0.231
2020,"IT2009A",2020-04-21,0.237
2020,"IT2009A",2020-04-22,0.264
2020,"IT2009A",2020-04-23,0.256
2020,"IT2009A",2020-04-24,0.246
2020,"IT2009A",2020-04-25,0.228
2020,"IT2009A",2020-04-26,0.2613
2020,"IT2009A",2020-04-27,0.2494
2020,"IT2009A",2020-04-28,0.1971
2020,"IT2009A",2020-04-29,0.1298
2020,"IT2009A",2020-04-30,0.1353
2020,"IT2009A",2020-05-01,0.154
2020,"IT2009A",2020-05-02,0.1352
2020,"IT2009A",2020-05-03,0.1248
2020,"IT2009A",2020-05-04,0.1449
2020,"IT2009A",2020-05-05,0.1504
2020,"IT2009A",2020-05-06,0.1474
2020,"IT2009A",2020-05-07,0.0908
